% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
12,241,52,-39.1026,-41.3958,1.01041,-0.0953062,0.223994,0.557989,0.793342,-38.8956,-40.1148,0.204553,-0.204647,-0.0721452,-0.643424,0.734111
152,216,79,-52.3644,-33.6034,-2.19066,0.0613424,0.289677,0.829168,-0.474136,-52.5539,-34.0415,-1.93855,-0.111099,-0.252555,-0.741955,0.611045
73,128,150,-37.8964,-39.5192,-0.0130592,-0.0578961,0.23383,0.637835,0.731532,-37.953,-39.6635,0.14551,-0.0685064,0.16844,0.631391,0.753844
71,125,110,-38.0425,-40.9394,0.712934,-0.0728963,0.202061,0.6355,0.741618,-38.3354,-41.0172,0.620549,-0.0768686,0.161926,0.54855,0.816679
151,215,318,-52.0712,-33.1651,-2.35155,0.0496061,0.294673,0.835561,-0.461025,-52.1988,-32.9811,-2.41633,-0.128728,-0.282682,-0.760348,0.57043
150,213,68,-51.4076,-32.4071,-2.57899,0.048168,0.260444,0.899877,-0.346511,-51.89,-31.8332,-2.898,-0.120952,-0.271097,-0.794494,0.52977
95,217,24,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794,-52.7819,-34.5441,-1.54352,-0.109539,-0.161484,-0.666373,0.719633
95,216,274,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794,-52.5539,-34.0415,-1.93855,-0.111099,-0.252555,-0.741955,0.611045
260,318,126,-45.6706,-45.8424,2.80058,0.0183845,0.171475,0.981027,0.0885711,-45.916,-46.036,2.72782,0.0265786,0.157166,0.985863,0.0516379
104,334,11,-52.5409,-39.9076,0.553784,-0.11181,-0.077675,-0.222537,0.965372,-52.3668,-40.6179,0.906401,-0.13343,0.0864756,0.636303,0.754876
104,333,50,-52.5409,-39.9076,0.553784,-0.11181,-0.077675,-0.222537,0.965372,-52.4043,-41.0287,1.0289,-0.121566,0.0836981,0.63456,0.75865
7,120,120,-39.6613,-43.4147,1.70887,-0.0720513,0.186569,0.571787,0.795651,-40.3645,-42.7133,1.35885,-0.0666919,0.0715407,0.173145,0.980028
142,425,144,-44.2331,-32.8503,-1.91466,0.0552765,0.235402,0.965914,0.0924176,-45.2917,-31.8824,-2.6367,-0.161547,-0.121758,-0.569161,0.796952
348,418,62,-47.5413,-30.4483,-3.51784,-0.261193,-0.0797561,0.0468008,0.960847,-47.7171,-30.7726,-3.50144,-0.21933,-0.122773,-0.0718734,0.965223
154,407,148,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784,-53.4977,-35.0647,-1.18493,-0.138398,0.0815119,0.592737,0.789218
349,421,11,-46.8123,-30.3576,-3.43541,-0.207833,-0.0826786,-0.0266946,0.974298,-46.8553,-30.7487,-3.09807,-0.21805,-0.138789,-0.119603,0.958586
155,405,170,-53.1915,-34.6671,-1.38279,-0.115082,-0.268561,-0.751476,0.591536,-54.0412,-36.1993,-0.754992,-0.130204,0.093513,0.567125,0.807881
